Unnamed: 0,word,freq,profanity,hr
1684,przeczucie,1740,cipe,77
1702,odpowiedzialność,1715,downie,75
1721,odbicie,1689,cipe,77
1723,dal,1687,dopierdala,90
1741,morderca,1669,morde,90
1759,uroczyście,1645,cipe,77
1762,królestwo,1640,kurestwo,88
1773,ogólnie,1630,pierdolnie,82
1779,posłuchać,1627,poruchać,82
1806,ciąg,1594,cipą,75
1809,instynktownie,1590,downie,75
1814,skupić,1579,skurwić,77
1816,wąski,1576,kurewski,80
1825,włożyć,1564,nabarłożyć,75
1844,wujek,1542,hujek,80
1847,przydać,1534,przyjebać,75
1854,przebieg,1530,przyjebie,82
1859,odkrycie,1519,cipe,77
1876,przyjechać,1501,przyjebać,84
1880,stryj,1494,ryj,90
1900,panowanie,1480,downie,75
1902,osiemnaście,1477,cipe,77
1934,model,1453,morde,80
1950,bank,1439,jebanka,90
1953,szesnaście,1437,cipe,77
1980,przybycie,1409,przyjebie,78
2006,owak,1381,chujowa,77
2013,nabrać,1374,najebać,77
2014,czternaście,1374,cipe,77
2018,jedenaście,1373,cipe,77
2020,oparcie,1372,cipe,77
2026,rychło,1364,ruchało,77
2039,alarm,1350,dojebalam,80
2061,duma,1341,dupa,75
2076,podzielić,1328,podpierdolić,76
2090,upał,1318,dupa,75
2105,stal,1307,zajebista,77
2109,dziko,1302,dzifko,91
2112,współczucie,1301,cipe,77
2113,ród,1299,dopierdala,90
2122,chwała,1288,ruchała,77
2129,przebywać,1281,przejebać,78
2140,zaiste,1271,zajebiste,80
2142,skraj,1270,sraj,89
2144,zebranie,1269,zjebane,80
2154,krawat,1263,kórwa,80
2156,polowanie,1261,downie,75
2159,wysłuchać,1255,ruchać,75
2166,postępowanie,1251,downie,75
2180,ucieczka,1242,dupeczka,75
2184,dowcip,1240,cip,90
2188,rzucać,1238,ruchać,83
2215,bar,1215,nabarłożyć,90
2219,mat,1212,matkojebca,90
2229,wpierw,1205,nawpierdalac,75
2232,odpowiedzialny,1203,downie,75
2240,królewski,1199,kurewski,88
2269,zerwać,1182,zesrywać,86
2272,podziękować,1182,dzifko,75
2279,powierzchnia,1166,chujnia,75
2282,potwierdzenie,1165,pierdolenie,75
2293,nieprzytomny,1159,pieprzony,76
2297,bicie,1157,rozjebcie,80
2303,trzynaście,1154,cipe,77
2310,siedemnaście,1146,cipe,77
2329,banda,1138,najebana,80
2347,surowy,1130,skurwysyn,75
2363,przebić,1120,przejebać,75
2368,zdać,1115,dopieprzać,77
2375,skok,1109,kurewsko,77
2386,ułożyć,1101,nabarłożyć,75
2395,obficie,1094,cipe,77
2402,wypowiedzieć,1091,pierdzieć,76
2404,bal,1090,dojebal,90
2418,radzić,1085,pierdzieć,75
2428,wybierać,1079,wypieprzać,78
2444,cierpieć,1070,cipie,77
2447,nieprzyjaciel,1068,pieprz,75
2460,przejąć,1064,przejebać,75
2476,podpis,1056,podpierdala,75
2504,akta,1042,jebaka,77
2533,but,1024,jebut,90
2573,raj,1005,srajac,90
2586,zabójca,998,przypieprzajaca,75
2602,podziwiać,991,dziwka,75
2603,rozczarowanie,990,downie,75
2615,przybyć,983,przyjebać,75
2624,dolina,976,odpierdolila,75
2625,biało,976,rozjebało,80
2641,starać,970,srać,80
2657,auto,962,szmato,77
2661,szatan,960,szmata,83
2666,zagrać,959,zasrać,83
2700,biel,944,dojebie,77
2720,rów,934,koorwa,90
2721,acz,934,spermosiorbacz,90
2741,dowieść,926,downie,77
2752,poparcie,919,cipe,77
2758,zawzięcie,917,cipe,77
2777,dotknięcie,907,cipe,77
2797,liść,898,dopierdolić,77
2811,przeżycie,892,cipe,77
2846,należycie,877,cipe,77
2875,porzucić,864,poruchać,75
2878,skurcz,863,skurwic,77
2882,kawa,861,kórwa,75
2895,łam,857,dojebałam,90
2899,ul,855,ciul,90
2913,mucha,850,rucha,80
2936,iście,843,nakurwiście,90
2940,ołówek,841,kurwidołek,80
2958,czek,836,kurwiszcze,77
2970,wychowanie,832,downie,75
2980,podejście,827,cipe,77
2981,lis,827,pierdolisz,90
2982,twierdzić,827,pierdzieć,78
2987,letni,825,popierdoleni,80
3000,dziwo,822,dziwko,91
3011,nieprzyjemny,818,pieprz,75
3019,nieprzyjemnie,815,jebnie,75
3034,niesamowicie,808,cipe,77
3076,potajemnie,791,jebnie,75
3082,nieruchomy,790,rucham,75
3087,wydział,788,wypiździały,78
3099,chuda,785,chuja,80
3125,potwierdzić,778,pierdzieć,80
3126,lila,777,odpierdolila,90
3134,przejrzeć,775,przejebać,78
3153,nieprzerwanie,768,pieprz,75
3166,ster,766,zajebiste,77
3172,pojemnik,762,pojebami,75
3174,podobać,761,podjebać,80
3196,przebrać,756,przejebać,82
3198,ogólny,756,pierdolny,80
3213,zmierzyć,752,zapieprzyć,78
3231,kupa,747,dupa,75
3234,przedsięwzięcie,745,cipe,77
3250,przejechać,741,przejebać,84
3263,zabawny,738,zajebany,80
3264,as,737,kutas,90
3270,por,735,porozpierdala,90
3284,wędrowiec,731,downie,75
3294,rój,730,ryj,80
3325,krowa,722,kórwa,89
3326,uruchomić,721,rucham,75
3342,dziw,713,dziwka,90
3360,przeprosić,710,przepierdolić,78
3365,zdobycie,707,cipe,77
3390,podpisać,698,srać,77
3393,przygotowanie,697,downie,75
3408,zadziwiająco,694,dziwka,75
3416,dziwaczny,693,dziwka,75
3424,rozwijać,692,rozjebać,75
3429,użycie,690,cipe,77
3453,zapisać,685,srać,77
3460,cierpko,684,cipko,83
3484,przyzwoicie,679,cipe,77
3486,staw,678,zajebista,77
3498,dziewiętnaście,675,cipe,77
3500,przebyć,675,przejebać,75
3509,wsparcie,671,cipe,77
3571,dziękować,655,dzifko,75
3579,istny,653,zajebisty,80
3593,ukłucie,648,cipe,77
3599,opierać,647,dopieprzać,82
3644,dziekan,637,dzifka,77
3658,odjechać,634,podjebać,75
3695,pierwotnie,623,pierdolnie,80
3725,przebaczenie,616,zjebac,75
3732,dziwacznie,614,dziwka,75
3735,grzebać,613,rozjebać,80
3745,balon,612,pojebalo,80
3758,starcie,610,cipe,77
3768,nieprawdopodobnie,608,downie,75
3771,samopoczucie,607,cipe,77
3801,zabawnie,600,zajebane,75
3815,zdenerwowanie,596,downie,75
3820,len,594,pierdolenie,90
3822,odbierać,593,odpieprzać,78
3840,strych,591,zajebistych,82
3842,lalka,590,dopierdalala,80
3844,zabieg,589,zajebie,77
3850,posunięcie,587,cipe,77
3854,krwawy,585,kórwa,90
3867,opanowanie,581,downie,75
3871,sejm,581,kutasem,77
3916,om,570,cipkom,90
3954,sowa,563,kutasow,77
3968,lądowanie,561,downie,80
3971,starucha,560,rucha,90
3977,szarpać,560,zasrać,77
3985,iskra,558,kurwiska,80
3998,promieniowanie,556,downie,75
4002,osiągnięcie,556,cipe,77
4004,wbić,555,kurwić,77
4031,chować,549,chujowa,77
4072,zastosowanie,541,downie,75
4082,zniknięcie,541,cipe,77
4093,dobrać,539,dojebać,77
4111,przerywać,535,zesrywać,82
4116,uprawiać,534,wkurwiać,75
4123,wycieczka,533,piczka,75
4124,bankier,532,jebankiem,75
4131,oddalać,530,odpierdalać,78
4148,pokochać,528,poruchać,75
4167,nadejście,525,cipe,77
4186,zając,522,opieprzający,90
4193,wódka,521,dziwka,77
4222,niemy,517,pierdoleniem,80
4224,przypisać,516,przypieprzać,76
4231,sezon,516,kurwiszon,80
4237,stosownie,515,downie,75
4256,odejście,512,cipe,77
4261,korek,511,korewko,83
4262,nów,511,skurwysynów,90
4263,zadbać,511,zajebać,77
4266,rozerwać,511,rozjebać,75
4293,paczka,507,piczka,83
4341,wiać,497,nakurwiać,90
4344,nieprzytomnie,496,pieprz,75
4345,dojechać,496,dojebać,80
4356,ujście,493,cipe,77
4362,zwał,493,wypieprzał,77
4372,zupa,491,dupa,75
4392,gruntownie,487,downie,75
4400,grzebień,486,rozjebie,75
4422,przybrać,483,przyjebać,82
4474,pranie,473,pieprzniety,75
4480,skrycie,472,cipe,77
4506,donieść,467,downie,77
4530,rozebrać,465,rozjebać,88
4565,wyjeżdżać,460,wyjebać,75
4569,jeniec,459,jebnie,83
4583,wić,456,kurwić,90
4601,niezdecydowanie,453,downie,75
4608,olej,452,dopierdole,77
4623,odbywać,450,obsrywać,80
4626,alfa,449,dojebala,77
4643,szarpnięcie,447,cipe,77
4650,pierwotny,445,pieprzony,78
4684,przepraszająco,440,przypieprzająca,76
4689,dowolnie,439,downie,86
4694,zastać,438,zasrać,83
4716,pchać,435,poruchać,77
4724,rodzić,433,pierdzieć,75
4726,żarcie,433,cipe,77
4739,skrzyżowanie,430,downie,75
4747,przyspieszyć,429,przypieprzać,75
4750,zamknięcie,429,cipe,77
4764,odgrywać,427,obsrywać,75
4795,pobrać,421,pojebać,77
4812,spierać,420,spieprzać,88
4815,rozumowanie,419,downie,75
4844,pochować,415,poruchać,75
4846,kura,415,kurwa,89
4861,zdobywać,412,obsrywać,75
4870,działka,411,dzifka,77
4872,kur,411,kurestwo,90
4882,odpowiednik,410,downie,75
4950,mata,402,szmata,90
4954,krawiec,401,kurwic,77
4958,podjęcie,401,cipe,77
4959,mgliście,401,cipe,77
4964,zgon,400,kurwiszon,77
4967,cham,400,rucham,90
4977,waga,399,kurwaa,77
5014,strajk,395,sraj,80
5016,wyczucie,394,cipe,77
5032,opisywać,392,obsrywać,75
5036,kurek,392,kurewko,83
5041,kurier,391,kurwie,83
5080,natarcie,386,cipe,77
5083,zejście,386,cipe,77
5084,tabliczka,385,piczka,75
5085,przejaw,385,przejebac,75
5086,kołysać,385,srać,77
5117,lanie,381,pierdolnie,80
5119,niepamięć,380,cipami,75
5162,konował,375,koorwa,77
5171,bywać,373,obsrywać,77
5213,skrócić,369,skurwić,77
5217,sień,369,kutasie,77
5222,wykręcić,368,wykurwić,75
5227,szata,368,szmata,91
5261,zgadywać,365,zasrywać,75
5297,odszkodowanie,360,downie,75
5300,szach,360,kutasach,80
5301,kwas,360,kórwa,75
5305,przepis,359,przepierdala,77
5337,wyprawić,355,wykurwić,75
5340,rozbierać,354,rozpierdalać,76
5350,prawdziwość,353,dziwko,75
5351,czucie,353,cipe,77
5353,usunięcie,353,cipe,77
5365,udusić,353,udupić,83
5371,pulsowanie,352,downie,75
5374,przybierać,352,przypieprzać,82
5384,rozpoczęcie,351,cipe,77
5387,traktowanie,350,downie,75
5404,przebaczyć,349,zjebac,75
5422,dziewka,347,dziwka,92
5423,siew,347,kutasie,77
5446,zamiłowanie,345,downie,75
5465,urwisko,343,kurewsko,80
5504,posiedzieć,339,pierdzieć,84
5505,rzyć,339,zapieprzyć,90
5518,ujęcie,338,cipe,77
5529,pęknięcie,337,cipe,77
5530,przebierać,337,przepierdalać,78
5531,pokrewieństwo,337,kurwie,75
5535,przyjście,336,przyjebie,78
5539,cnota,336,ciota,80
5570,dzik,333,dzifka,80
5571,stek,333,zajebiste,77
5619,kac,327,cipkach,90
5644,odeprzeć,325,odpieprzać,78
5647,ar,325,kurwiarz,90
5652,przesłuchać,324,ruchać,75
5660,step,323,zajebiste,77
5666,krab,323,kórwa,75
5679,uliczka,322,piczka,77
5682,pieprzyć,321,zapieprzyć,89
5692,nałożyć,321,nabarłożyć,82
5703,owad,319,chujowa,77
5764,zwierzyć,313,zapieprzyć,78
5771,przepraszać,313,przypieprzać,78
5780,pozdrowienie,313,downie,75
5783,powracać,312,poruchać,75
5831,podziękowanie,308,downie,75
5846,dowodzenie,307,downie,75
5847,drzewko,307,dziwko,77
5864,wyśmienicie,305,cipe,77
5866,bila,305,najebia,77
5891,aresztowanie,304,downie,75
5901,uzbrojenie,303,jebnie,82
5912,dowcipny,302,cip,90
5919,witać,302,nakurwiać,80
5924,przyjeżdżać,301,przyjebać,80
5932,docierać,301,dopieprzać,78
5933,niedowierzanie,301,downie,75
5944,rozeznać,300,rozjebać,75
5981,poderwać,298,podjebać,75
5987,dola,297,opierdola,90
5991,mord,297,morde,89
6001,wymierzyć,296,wypieprzy,78
6002,rozegrać,296,rozjebać,75
6012,szantaż,295,szmata,77
6019,pogrzebać,295,zjebać,82
6021,wycierać,295,wypieprzać,78
6025,zrywać,294,zasrywać,86
6040,poszycie,293,cipe,77
6071,przedzierać,291,przepierdalać,75
6105,opakowanie,288,downie,75
6109,pop,288,popierdala,90
6112,kora,287,koorwa,80
6125,zjechać,286,zjebać,77
6132,uszanowanie,285,downie,75
6144,sierota,284,spierdola,75
6163,październik,283,piździe,77
6169,upić,283,udupić,90
6173,zajście,282,spieprzajcie,83
6174,kwiecie,282,cipe,77
6178,kryjówka,282,ryj,90
6191,zastraszyć,281,zasrać,75
6193,lać,281,dopierdalać,90
6227,pokrycie,279,cipe,77
6229,oś,279,ruchałoś,90
6262,usiedzieć,277,pierdzieć,78
6265,ruchliwy,276,ruchali,80
6285,wjechać,275,wjebać,77
6293,niezbicie,275,cipe,77
6294,taktownie,275,downie,75
6303,ruchomy,274,ruchamy,86
6313,piąć,273,udupić,77
6317,opracowanie,273,downie,75
6326,wykupić,272,wykurwić,80
6327,wspinaczka,272,piczka,75
6372,okrycie,270,cipe,77
6375,wisieć,269,nakurwiscie,75
6376,podsłuchać,269,poruchać,78
6383,nakrycie,269,cipe,77
6386,rwać,269,koorwa,77
6422,jadowicie,266,cipe,77
6436,kruchy,265,ruchamy,77
6441,przebranie,265,przejebane,80
6447,nieprzyzwoicie,264,pieprz,75
6457,kurka,264,kurwa,80
6461,sterowanie,263,downie,75
6478,ciąć,262,cipą,75
6500,głosowanie,261,downie,75
6514,kreska,260,kurewska,86
6517,szron,259,kurwiszon,80
6537,obserwacja,258,obsrywac,78
6538,monarcha,258,rucha,80
6548,odczucie,258,cipe,77
6578,wspierać,256,spieprzać,82
6602,zaniepokojenie,255,jebnie,82
6623,obejście,253,cipe,77
6649,licznie,252,pierdolicie,75
6660,pacierz,252,pieprz,77
6662,zaangażowanie,251,downie,75
6664,niezmordowanie,251,downie,75
6665,piszczałka,251,piczka,75
6676,sformułowanie,251,downie,75
6682,haniebnie,251,jebnie,75
6687,umeblowanie,250,downie,75
6696,przyzwyczajenie,250,jebnie,82
6699,dojście,250,cipe,77
6708,zetknięcie,249,cipe,77
6742,łom,247,ruchałom,90
6748,bakier,247,jebankiem,75
6759,uspokojenie,247,jebnie,82
6792,dziurawiec,245,kurwie,75
6813,rozmaicie,244,cipe,77
6841,piekarz,243,pieprz,77
6844,pożarcie,242,cipe,77
6875,dolny,241,pierdolny,90
6907,zarazić,239,zasrać,77
6941,pojmać,237,pojebać,77
6954,bankiet,236,jebankiem,75
6985,hura,235,huja,75
6989,nieudolnie,235,pierdolnie,80
7000,komora,235,koorwa,83
7019,pierze,234,pieprz,83
7051,order,231,morde,80
7080,odkupić,230,udupić,77
7102,obrać,229,obsrywać,77
7107,historyjka,228,ryj,90
7110,szczep,228,kurwiszcze,82
7115,uderzająco,228,srając,75
7124,ziele,228,śmierdziel,80
7129,rodzic,228,pierdziec,75
7130,ssać,228,srać,75
7154,niewymownie,227,downie,75
7157,dobierać,226,dopieprzać,78
7176,stulecie,226,cipe,77
7201,przeprawa,224,przepierdala,76
7245,przerzucać,222,ruchać,75
7310,przesunięcie,219,cipe,77
7314,wybieg,219,wyjebie,77
7338,urwać,218,kurwa,80
7340,spiker,218,spieprzac,75
7344,zwać,217,dopieprzać,77
7369,zamordowanie,216,downie,75
7398,szyper,215,przypierdala,75
7399,szpon,215,kurwiszon,80
7449,dołek,213,kurwidołek,90
7474,krwawienie,212,kórwa,90
7478,zapotrzebowanie,212,downie,75
7485,sensownie,212,downie,75
7496,zapisywać,211,zasrywać,82
7511,umiarkowanie,211,downie,75
7513,obserwacyjny,211,obsrywac,79
7526,sowicie,210,cipe,77
7528,przedmieście,210,cipe,77
7576,naprawiać,208,nakurwiać,78
7579,zabranie,208,zajebane,75
7584,osiedlić,208,opierdolić,78
7590,kasa,207,kutasa,80
7591,cierpki,207,cipki,83
7592,pozdrowić,207,podkurwić,78
7597,wzięcie,207,cipe,77
7602,nać,207,jebnać,90
7605,wpisać,207,srać,77
7609,rozdzierająco,207,srając,75
7633,niedowierzająco,206,downie,75
7661,krwawić,204,kórwa,90
7666,kierowanie,204,downie,75
7699,balsam,202,dojebalam,82
7739,owca,201,chujowa,77
7746,owal,200,chujowa,77
7751,ukrycie,200,cipe,77
7763,termos,199,spermosiorbacz,75
7789,zorganizowanie,199,downie,75
7803,rusztowanie,198,downie,75
7811,dziwak,198,dziwka,83
7824,skusić,198,skurwić,77
7849,siać,197,srać,75
7854,wada,196,kurwaa,77
7860,wywierać,196,wypieprzać,78
7866,synowa,196,skurwysynow,82
7868,przebijać,196,przejebać,78
7869,bezsensownie,196,downie,75
7892,budowanie,195,downie,80
7893,lama,194,dojebalam,77
7920,okrywa,193,kórwa,80
7939,stosowanie,192,downie,75
7943,przejęcie,192,cipe,77
7947,kran,192,kórwa,75
7969,zalać,191,wypieprzala,80
7994,przyzwyczajać,190,zajebać,75
8003,dziwa,190,dziwka,91
8017,krewna,189,kórwa,80
8021,przemierzać,189,przypieprzać,78
8027,morda,189,morde,80
8032,kuracja,189,kurwaa,77
8066,obserwowanie,187,downie,75
8084,upierać,187,upierdalać,82
8093,lipa,186,cipa,75
8097,malowanie,186,downie,75
8100,duda,186,dupa,75
8108,przelać,185,przejebać,75
8165,odrzucać,183,poruchać,75
8173,zapalać,183,zapierdalać,78
8175,duet,183,dupe,75
8179,odkrywać,182,obsrywać,75
8188,lala,182,dopierdalala,90
8192,prać,182,srać,75
8209,przechowanie,181,downie,75
8239,wydobycie,180,cipe,77
8248,zaspokojenie,179,jebnie,82
8249,rozbijać,179,rozjebać,75
8260,wypracowanie,179,downie,75
8270,wlać,179,obsrywać,77
8285,zajmowanie,178,downie,75
8292,szatański,178,szmata,75
8301,rozbicie,178,rozjebiecie,84
8308,sztych,177,zajebistych,82
8311,funt,177,fiut,75
8314,rdza,177,spieprza,77
8320,zasypać,177,zasrywać,80
8336,krzew,176,kurew,80
8338,popisać,176,srać,77
8351,proza,176,spieprza,80
8357,pierworodny,176,pierdolony,76
8382,obcowanie,174,downie,75
8383,bezinteresownie,174,downie,75
8390,staż,174,zajebista,77
8395,rapier,174,naopierdalac,75
8403,bis,173,zajebiscie,90
8405,spodobać,173,podjebać,75
8424,zjednać,173,jebnać,77
8425,funkcjonowanie,173,downie,75
8426,zawierzyć,173,zapieprzyć,84
8431,wtargnięcie,173,cipe,77
8436,przybić,173,przyjebać,75
8439,najeść,173,najebać,77
8447,dowcipnie,172,cip,90
8470,łoś,172,ruchałoś,90
8474,morderczy,171,morde,90
8520,zażenowanie,170,downie,75
8565,debiut,168,debilu,83
8569,wyraziście,168,cipe,77
8570,przypis,168,przypieprzac,77
8576,dożywocie,168,cipe,77
8579,muśnięcie,168,cipe,77
8581,zażywać,168,zasrywać,80
8601,zaniedbanie,167,jebani,75
8602,słać,167,srać,75
8610,wierzba,167,wypieprza,75
8616,podjechać,167,podjebać,82
8650,skrzypnięcie,166,cipe,77
8679,skierowanie,165,downie,75
8695,wynajęcie,164,cipe,77
8715,pouczać,164,poruchać,80
8719,prałat,164,wypieprzała,75
8736,przyśpieszyć,164,przypieprzać,75
8753,wypisać,163,srać,77
8757,powierzchownie,163,downie,75
8762,rozstrzygnięcie,163,cipe,77
8792,miot,162,ciot,75
8809,odrywać,161,obsrywać,80
8842,rolnik,160,pierdolnie,75
8851,pozbycie,160,cipe,77
8860,unieruchomić,159,rucham,75
8866,ciut,159,ciot,75
8877,dzikość,159,dzifko,77
8883,przebrnąć,159,jebnąć,75
8902,popierać,158,popierdalać,84
8906,ił,158,dopierdolił,90
8907,wykrycie,158,cipe,77
8932,krzywa,157,kórwa,80
8950,kopnięcie,157,cipe,77
8964,wygrzebać,156,zjebać,82
8971,jaskra,156,kórwa,77
8986,budowniczy,155,downie,75
8988,gotowanie,155,downie,75
8995,rozdarcie,155,cipe,77
9002,roztrzaskać,155,zasrać,75
9012,zwierzać,154,wypieprzać,78
9037,popychać,154,poruchać,75
9065,czaić,153,zapierniczać,80
9075,doniesienie,153,downie,75
9078,kunsztownie,153,downie,75
9086,zawarcie,152,cipe,77
9094,ratowanie,152,downie,75
9101,chan,152,rozpierducha,77
9102,ropucha,152,rucha,83
9113,odebranie,151,jebani,75
9117,zbudowanie,151,downie,75
9119,zdobywanie,151,downie,75
9144,atom,151,szmato,77
9156,wahadłowiec,150,downie,75
9163,czarować,150,zasrywać,75
9169,chała,150,ruchałam,90
9182,umiłowanie,150,downie,75
9206,przyjmowanie,149,downie,75
9218,podlegać,149,podjebać,75
9220,konkurować,149,kurwaa,75
9248,objęcie,148,cipe,77
9258,kram,148,kórwa,75
9293,dmuchać,147,ruchać,77
9316,waza,146,kurwaa,77
9318,rozmaitość,146,szmato,75
9325,przybywać,146,przyjebać,78
9342,rzucanie,145,ruchacie,75
9346,pogrzebacz,145,zjebac,75
9370,sprzyjać,144,przyjebać,82
9371,przejeżdżać,144,przejebać,80
9383,zwarcie,144,cipe,77
9394,stuknięcie,144,cipe,77
9408,zamieniać,143,zapierniczać,76
9409,bombardowanie,143,downie,75
9431,golenie,143,pierdolenie,77
9443,niemo,142,pierdoleniem,80
9451,zrzucać,142,ruchać,77
9467,zuchwałość,142,ruchałoś,78
9469,wieprz,142,pieprz,83
9472,pokrywać,142,obsrywać,75
9491,przeciek,141,cipek,80
9519,udobruchać,140,rucha,90
9531,dolar,140,opierdola,80
9544,przelewać,139,przejebać,78
